run_dir,split,model_name,seed,loss_mask,final_weight,tf_count_acc,tf_mae,tf_under,tf_over,ar_count_acc,ar_mae,trace_exact,format_valid
runs/trace_count_v0_seed0/small_main/completion_final_weighted_fw10_seed0,val_density_shift_high,small_main,0,completion_final_weighted,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
runs/trace_count_v0_seed0/small_main/completion_final_weighted_fw10_seed0,val_density_shift_low,small_main,0,completion_final_weighted,10.0,0.125,2.75,0.125,0.75,0.0,,0.0,0.0
runs/trace_count_v0_seed0/small_main/completion_final_weighted_fw10_seed0,val_id,small_main,0,completion_final_weighted,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
runs/trace_count_v0_seed0/small_main/completion_final_weighted_fw10_seed0,val_length_ood,small_main,0,completion_final_weighted,10.0,0.048828125,3.21484375,0.2705078125,0.6806640625,0.0,,0.0,0.0
runs/trace_count_v0_seed0/small_main/completion_final_weighted_fw5_seed0,val_density_shift_high,small_main,0,completion_final_weighted,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
runs/trace_count_v0_seed0/small_main/completion_final_weighted_fw5_seed0,val_density_shift_low,small_main,0,completion_final_weighted,5.0,0.0,11.203125,0.474609375,0.525390625,0.0,,0.0,0.0
runs/trace_count_v0_seed0/small_main/completion_final_weighted_fw5_seed0,val_id,small_main,0,completion_final_weighted,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
runs/trace_count_v0_seed0/small_main/completion_final_weighted_fw5_seed0,val_length_ood,small_main,0,completion_final_weighted,5.0,0.0,4.9453125,0.875,0.125,0.0,,0.0,0.0
runs/trace_count_v0_seed0/small_main/completion_only_seed0,val_density_shift_high,small_main,0,completion_only,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
runs/trace_count_v0_seed0/small_main/completion_only_seed0,val_density_shift_low,small_main,0,completion_only,,0.125,3.5,0.875,0.0,0.0,,0.0,0.0
runs/trace_count_v0_seed0/small_main/completion_only_seed0,val_id,small_main,0,completion_only,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
runs/trace_count_v0_seed0/small_main/completion_only_seed0,val_length_ood,small_main,0,completion_only,,0.2060546875,2.29296875,0.7587890625,0.03515625,0.0,,0.0,0.0
runs/trace_count_v0_seed0/small_main/final_count_only_seed0,val_density_shift_high,small_main,0,final_count_only,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0
runs/trace_count_v0_seed0/small_main/final_count_only_seed0,val_density_shift_low,small_main,0,final_count_only,,0.125,2.623046875,0.486328125,0.388671875,0.0,,0.0,0.0
runs/trace_count_v0_seed0/small_main/final_count_only_seed0,val_id,small_main,0,final_count_only,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0
runs/trace_count_v0_seed0/small_main/final_count_only_seed0,val_length_ood,small_main,0,final_count_only,,0.125,3.375,0.375,0.5,0.0,,0.0,0.0
runs/trace_count_v0_seed0/small_main/full_sequence_final_weighted_fw10_seed0,val_density_shift_high,small_main,0,full_sequence_final_weighted,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
runs/trace_count_v0_seed0/small_main/full_sequence_final_weighted_fw10_seed0,val_density_shift_low,small_main,0,full_sequence_final_weighted,10.0,0.125,3.5,0.875,0.0,0.0,,0.0,0.0
runs/trace_count_v0_seed0/small_main/full_sequence_final_weighted_fw10_seed0,val_id,small_main,0,full_sequence_final_weighted,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
runs/trace_count_v0_seed0/small_main/full_sequence_final_weighted_fw10_seed0,val_length_ood,small_main,0,full_sequence_final_weighted,10.0,0.154296875,2.953125,0.845703125,0.0,0.0,13.8,0.0,0.009765625
runs/trace_count_v0_seed0/small_main/full_sequence_final_weighted_fw5_seed0,val_density_shift_high,small_main,0,full_sequence_final_weighted,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
runs/trace_count_v0_seed0/small_main/full_sequence_final_weighted_fw5_seed0,val_density_shift_low,small_main,0,full_sequence_final_weighted,5.0,0.125,3.373046875,0.875,0.0,0.0,,0.0,0.0
runs/trace_count_v0_seed0/small_main/full_sequence_final_weighted_fw5_seed0,val_id,small_main,0,full_sequence_final_weighted,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
runs/trace_count_v0_seed0/small_main/full_sequence_final_weighted_fw5_seed0,val_length_ood,small_main,0,full_sequence_final_weighted,5.0,0.125,3.4990234375,0.875,0.0,0.0,12.25,0.0,0.0234375
runs/trace_count_v0_seed0/small_main/full_sequence_seed0,val_density_shift_high,small_main,0,full_sequence,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
runs/trace_count_v0_seed0/small_main/full_sequence_seed0,val_density_shift_low,small_main,0,full_sequence,,0.125,3.1435546875,0.875,0.0,0.0,,0.0,0.0
runs/trace_count_v0_seed0/small_main/full_sequence_seed0,val_id,small_main,0,full_sequence,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
runs/trace_count_v0_seed0/small_main/full_sequence_seed0,val_length_ood,small_main,0,full_sequence,,0.1962890625,2.61328125,0.8017578125,0.001953125,0.0,,0.0,0.0
